"","Generation","Identity","Population","Frequency","Group_id","Unique_id"
"302",5.5,"genotype-5",0,0,"genotype-5","genotype-5_5.5"
"318",5.5,"genotype-5",0,0,"genotype-5a","genotype-5a_5.5"
"301",5.5,"genotype-3",0,0,"genotype-3","genotype-3_5.5"
"317",5.5,"genotype-3",0,0,"genotype-3a","genotype-3a_5.5"
"300",5.5,"genotype-15",0,0,"genotype-15","genotype-15_5.5"
"316",5.5,"genotype-15",0,0,"genotype-15a","genotype-15a_5.5"
"298",5.5,"genotype-11",0,0,"genotype-11","genotype-11_5.5"
"314",5.5,"genotype-11",0,0,"genotype-11a","genotype-11a_5.5"
"296",5.5,"genotype-1",0,0,"genotype-1","genotype-1_5.5"
"312",5.5,"genotype-1",0,0,"genotype-1a","genotype-1a_5.5"
"291",5.5,"genotype-14",8.375,0.0706900189913484,"genotype-14","genotype-14_5.5"
"307",5.5,"genotype-14",8.375,0.0706900189913484,"genotype-14a","genotype-14a_5.5"
"289",5.5,"genotype-2",37.9625,0.320426250263769,"genotype-2","genotype-2_5.5"
"305",5.5,"genotype-2",37.9625,0.320426250263769,"genotype-2a","genotype-2a_5.5"
"306",5.5,"genotype-9",10.8,0.0911584722515299,"genotype-9a","genotype-9a_5.5"
"297",5.5,"genotype-10",0,0,"genotype-10","genotype-10_5.5"
"313",5.5,"genotype-10",0,0,"genotype-10a","genotype-10a_5.5"
"310",5.5,"genotype-4",0.5,0.00422029964127453,"genotype-4a","genotype-4a_5.5"
"309",5.5,"genotype-13",0.5,0.00422029964127453,"genotype-13a","genotype-13a_5.5"
"304",5.5,"genotype-8",0,0,"genotype-8","genotype-8_5.5"
"299",5.5,"genotype-12",0,0,"genotype-12","genotype-12_5.5"
"315",5.5,"genotype-12",0,0,"genotype-12a","genotype-12a_5.5"
"320",5.5,"genotype-8",0,0,"genotype-8a","genotype-8a_5.5"
"311",5.5,"genotype-0",0,0,"genotype-0a","genotype-0a_5.5"
"329",6,"genotype-0",0,0,"genotype-0","genotype-0_6"
"335",6,"genotype-7",0,0,"genotype-7","genotype-7_6"
"351",6,"genotype-7",0,0,"genotype-7a","genotype-7a_6"
"327",6,"genotype-13",0.5,0.00266051791415396,"genotype-13","genotype-13_6"
"328",6,"genotype-4",0.5,0.00266051791415396,"genotype-4","genotype-4_6"
"322",6,"genotype-9",17.5,0.0931181269953884,"genotype-9","genotype-9_6"
"334",6,"genotype-6",0,0,"genotype-6","genotype-6_6"
"350",6,"genotype-6",0,0,"genotype-6a","genotype-6a_6"
"333",6,"genotype-5",0,0,"genotype-5","genotype-5_6"
"349",6,"genotype-5",0,0,"genotype-5a","genotype-5a_6"
"332",6,"genotype-3",0,0,"genotype-3","genotype-3_6"
"348",6,"genotype-3",0,0,"genotype-3a","genotype-3a_6"
